型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
ERO630-3,ERO615-3 ERO630-3反渗透纯水机说明书,反渗透净水机,反渗透净水机,"净水1
2”
绿色管
•废水1
4’红色管
壋压泵
纯水出水3
8”蓝色管
进水1
2”黄色管
进水电磁阀
低压开关
高压开关』
废水电磁阀
HYBRID
CTO复合压缩活性炭滤芯
RO反渗透滤芯
CTO压缩活性炭滤芯
数显龙头
此产品配有标准的出水龙头部件
适合安装于厨房或浴室的下部空间
且必须安装在留有冷水管及排水点的位置
（包括1.5米的配管长度）。如果距离更远
您可以购买更长的适用输送饮用水的管线
高压开关
止运转
此产品中的高压开关可以防止增压水泵满转
关闭出水龙头直饮水端达到设定的压力时自动切断电源使整机停
增压泵
此产品中的增压泵能在较低的进水压力下快速出水","PE管
电源适配器 6.说明书1份（含硅油包） 三 产品功能 以市政自来水为原水，经怡口牌双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功 能评价规范-一般水质处理器》（...",found,结构示意图,found,组件包,ERO615-3 ERO630-3反渗透纯水机说明书.pdf,../ERO615-3 ERO630-3反渗透纯水机说明书.pdf,1,净水1/2” 绿色管 •废水1/4’红色管 壋压泵 纯水出水3/8”蓝色管 进水1/2”黄色管 进水电磁阀 低压开关 高压开关』 废水电磁阀 HYBRID CTO复合压缩活性炭滤芯 RO反渗透滤芯 CTO压缩活性炭滤芯 • 数显龙头 此产品配有标准的出水龙头部件，适合安装于厨房或浴室的下部空间，且必须安装在留有冷水管及排水点的位置 （包括1.5米的配管长度）。如果距离更远，您可以购买更长的适用输送饮用水的管线。 • 高压开关 止运转。 此产品中的高压开关可以防止增压水泵满转，关闭出水龙头直饮水端达到设定的压力时自动,4. PE管 5. 电源适配器 6.说明书1份（含硅油包） 三 产品功能 以市政自来水为原水，经怡口牌双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功 能评价规范-一般水质处理器》（2001）的要求，纯水水质符合《生活饮用水水质处理器卫生安全与功能评价规 范-反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀，并可输送至原有厨房龙头，供生活用水用；中间一支內反渗透RO滤芯，通过这一特 殊薄
ERO615-3L,ERO615-3L、ERO630-3L说明书,反渗透净水机,反渗透净水机,"主机1台
滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
7字型龙头及相关配件的组件包
PE管
电源适配器 6.说明书1份（含硅油包） 三","PE管
电源适配器 6.说明书1份（含硅油包） 三 产品功能 以市政自来水为原水，经怡口牌双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功 能评价规范-一般水质处理器》（...",found,产品组件,found,组件包,ERO615-3L、ERO630-3L说明书.pdf,../ERO615-3L、ERO630-3L说明书.pdf,1,1. 主机1台 2. 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 7字型龙头及相关配件的组件包 4. PE管 5. 电源适配器 6.说明书1份（含硅油包） 三,4. PE管 5. 电源适配器 6.说明书1份（含硅油包） 三 产品功能 以市政自来水为原水，经怡口牌双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功 能评价规范-一般水质处理器》（2001）的要求，纯水水质符合《生活饮用水水质处理器卫生安全与功能评价规 范-反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀，并可输送至原有厨房龙头，供生活用水用；中间一支內反渗透RO滤芯，通过这一特 殊薄
ERO630-3L,ERO615-3L、ERO630-3L说明书,反渗透净水机,反渗透净水机,"主机1台
滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
7字型龙头及相关配件的组件包
PE管
电源适配器 6.说明书1份（含硅油包） 三","PE管
电源适配器 6.说明书1份（含硅油包） 三 产品功能 以市政自来水为原水，经怡口牌双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功 能评价规范-一般水质处理器》（...",found,产品组件,found,组件包,ERO615-3L、ERO630-3L说明书.pdf,../ERO615-3L、ERO630-3L说明书.pdf,1,1. 主机1台 2. 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 7字型龙头及相关配件的组件包 4. PE管 5. 电源适配器 6.说明书1份（含硅油包） 三,4. PE管 5. 电源适配器 6.说明书1份（含硅油包） 三 产品功能 以市政自来水为原水，经怡口牌双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功 能评价规范-一般水质处理器》（2001）的要求，纯水水质符合《生活饮用水水质处理器卫生安全与功能评价规 范-反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀，并可输送至原有厨房龙头，供生活用水用；中间一支內反渗透RO滤芯，通过这一特 殊薄
EROK01-3,EROK01-3型双出水净水机,反渗透净水机,反渗透净水机,主机1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源：...,"（限厨下型）
配件包
1份（不同颜色标记软管
油脂袋和管接头）
电源：GM200-36005505BE-30B05",found,产品组件,found,组件包,EROK01-3型双出水净水机.pdf,../EROK01-3型双出水净水机.pdf,1,1. 2 3. 4. 5. 主机1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源：GM200-36005505BE-30B05,（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源：GM200-36005505BE-30B05 三•产品功能 以市政自来水为原水，经双出水净水机处理后，净水水质符合《生活饮用水水质处理器卫生安全与功能评价规 范-一般水质处理器》（2001）的要求，纯水水质符合《生活饮用水水质处理器卫生安全与功能评价规范-反渗透处理装 置》（2001）的要求 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯可滤除 水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通
ERR3500 R20,ERR3500 R20 柔净智多星标准型,其他,柔净,"软水
市政进水
盐阀
吸盐阀
阀体
颗粒活性炭
树脂雄
树脂
36","组装和安装所需小零件/零配件袋
本说明书/本手册",found,结构示意图,found,开箱,ERR3500 R20 柔净智多星标准型.pdf,../ERR3500 R20 柔净智多星标准型.pdf,1,软水 市政进水 盐阀 吸盐阀 阀体 颗粒活性炭 树脂雄 树脂 36 注意事项 F9OWTFR 六、注意事项 • 正常情况下，ERR3500R20 型软水机每使用3m3市政自来水后用软水机专用盐再生一次，再生时 将不含碘的盐加入盐箱内，控制阀会自动完成树脂的再生和冲洗。ERR3500R20 型软水机每使用 15m3市政自来水，后需要更换树脂或活性炭，如需更换树脂或活性炭请联系本公司技师。 • 软水机电源请勿随意断电，停电发生后需重新设置反冲时间。 • 软水机长时间不用时，请不要切断电源，使软水机照常定时反冲。重新使用,及安装 FCOWATFR 二、开箱及安装 1. 开箱 一体式系统 R20、R30 装在一个大纸板箱中 从工厂发运。箱内包括装配和安装该装置所需零 配件袋，以及本手册。 分体式系统 R40装在两个纸板箱中从工厂发 运。一个纸箱包括树脂罐和控制器总成，另一个 纸箱中包含盐箱、盖子、装配和安装该装置所需 小型零配件袋，以及本手册。 彻底检查包装箱及怡口软水机，看是否有运 输损坏或是部件遗失。如果存在损坏，请通知运 输公司。怡口公司不负责运输中造成的损坏。 拆开所有包装材料。我们建议您在使用之前 不要打开小型零配件袋。所有
ERR3502 R30,ERR3502 R30 柔净双子星豪华型,其他,柔净,"ECR
3500R20
3500R30
ERR
3502R30
型号代码
HR20
HR30
HR20+
2H30+
滤料
钠型苯乙烯阳离子交换树脂
＋颗粒活性炭
滤料使用寿命＊（年）
3-5
净水流量
额定总净水流量
(m
20000
30000
15
18
再生周期
高容量树脂的数量
17
25
20
供水的最大硬度
(ppm)
684","组装和安装所需小零件/零配件袋
本说明书/本手册",found,结构示意图,found,开箱,ERR3502 R30 柔净双子星豪华型.pdf,../ERR3502 R30 柔净双子星豪华型.pdf,1,ECR 3500R20 ECR 3500R30 ERR 3500R20 ERR 3502R30 型号代码 HR20 HR30 HR20+ 2H30+ 滤料 钠型苯乙烯阳离子交换树脂 钠型苯乙烯阳离子交换树脂 ＋颗粒活性炭 滤料使用寿命＊（年） 3-5 净水流量 3 3.5 3 3.5 额定总净水流量 (m 3 ) 20000 30000 15 18 再生周期 (m 3 ) 3 3.5 3 3.5 高容量树脂的数量 ( 升 ) 17 25 20 25 供水的最大硬度 (ppm) 684 1026 855 1026 工,及安装 二、开箱及安装 1. 开箱 一体式系统 R20、R30 装在一个大纸板箱中 从工厂发运。箱内包括装配和安装该装置所需零 配件袋，以及本手册。 分体式系统 R40 装在两个纸板箱中从工厂发 运。一个纸箱包括树脂罐和控制器总成，另一个 纸箱中包含盐箱、盖子、装配和安装该装置所需 小型零配件袋，以及本手册。 彻底检查包装箱及怡口软水机，看是否有运 输损坏或是部件遗失。如果存在损坏，请通知运 输公司。怡口公司不负责运输中造成的损坏。 拆开所有包装材料。我们建议您在使用之前 不要打开小型零配件袋。所有型号需要的装配工
ES201-G,ES201-G（适用燃气热水器）,其他,其他,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ES201-G（适用燃气热水器）.pdf,../ES201-G（适用燃气热水器）.pdf,1,,
ES202-E,ES202-E （适用电热水器）,其他,其他,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ES202-E （适用电热水器）.pdf,../ES202-E （适用电热水器）.pdf,1,,
ESF007-M,ESF007-M前置说明书,前置过滤器,前置过滤器,"本产品的所有组件都包含在包装箱内，装箱清单如下： （1 前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
保修卡
合格证","前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
保修卡
合格证 三．产品功能 本产品怡口牌ESF007-M 型手动冲洗前置过滤器装置，需连接在房屋自来水总进水处，它能滤除自 来水源中大于40um 的悬浮颗粒并定期进行手动冲洗，将截获的污...",found,产品组件,found,装箱清单如下,ESF007-M前置说明书.pdf,../ESF007-M前置说明书.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： （1 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 保修卡 （4） 合格证,（1 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 保修卡 （4） 合格证 三．产品功能 本产品怡口牌ESF007-M 型手动冲洗前置过滤器装置，需连接在房屋自来水总进水处，它能滤除自 来水源中大于40um 的悬浮颗粒并定期进行手动冲洗，将截获的污垢从下部排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中本身 含有粘性沉淀物，如淤泥、粘土等，您有必要定期将过滤器拆开并清洗里面的滤网（注明：滤网是耗材， 需定期清
ESF01-M,ESF01-M OWNERS MANUAL,前置过滤器,前置过滤器,"本产品的所有组件都包含在包装箱内，装箱清单如下
前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（1只）；卡夹（1只）
保修卡（含合格证件）","前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（1只）；卡夹（1只）
保修卡（含合格证件）
使用说明书（通用版） 三•产品功能 本产品怡口牌ESF01-M型手动冲洗前置过滤器装置，需连接在房屋自来水总进水处，它能滤除自 来水源中大于40um 的悬浮颗粒并定期进行手动冲洗...",found,产品组件,found,装箱清单如下,ESF01-M OWNERS MANUAL.pdf,../ESF01-M OWNERS MANUAL.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： （1）前置过滤器主机（1只） （2）3分PE排污管（1根1.5m长）；管夹（1只）；卡夹（1只） （3） 保修卡（含合格证件） （4）,（1）前置过滤器主机（1只） （2）3分PE排污管（1根1.5m长）；管夹（1只）；卡夹（1只） （3） 保修卡（含合格证件） （4）使用说明书（通用版） 三•产品功能 本产品怡口牌ESF01-M型手动冲洗前置过滤器装置，需连接在房屋自来水总进水处，它能滤除自 来水源中大于40um 的悬浮颗粒并定期进行手动冲洗，将截获的污垢从下部排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中本身 含有粘性沉淀物，如淤泥、粘土等，您有必要定期将过滤器拆开并清洗里面的滤网（注明：滤
ESF02-M,ESF02-M 清滤宝基础型,前置过滤器,清滤宝,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ESF02-M 清滤宝基础型.pdf,../ESF02-M 清滤宝基础型.pdf,1,,
ESF05-M,ESF05-M 清滤宝标准型,前置过滤器,清滤宝,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ESF05-M 清滤宝标准型.pdf,../ESF05-M 清滤宝标准型.pdf,1,,
ESF08-M,ESF08-M手动前置过滤器说明书,前置过滤器,前置过滤器,"本产品的所有组件都包含在包装箱内，装箱清单如下： （1 前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
说明书（内含装箱单文字说明及","前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
说明书（内含装箱单文字说明及保修卡）
合格证",found,产品组件,found,装箱清单如下,ESF08-M手动前置过滤器说明书.pdf,../ESF08-M手动前置过滤器说明书.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： （1 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 说明书（内含装箱单文字说明及,（1 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 说明书（内含装箱单文字说明及保修卡） （4） 合格证
ESF10-A,ESF10-A 清滤宝智能加强型,前置过滤器,清滤宝,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ESF10-A 清滤宝智能加强型.pdf,../ESF10-A 清滤宝智能加强型.pdf,1,,
ESF100-M,ESF100-M 说明书,前置过滤器,前置过滤器,"本产品的所有组件都包含在包装箱内，装箱清单如下： （1 前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
说明书（内含装箱单文字说明及","前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
说明书（内含装箱单文字说明及保修卡）
合格证",found,产品组件,found,装箱清单如下,ESF100-M 说明书.pdf,../ESF100-M 说明书.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： （1 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 说明书（内含装箱单文字说明及,（1 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 说明书（内含装箱单文字说明及保修卡） （4） 合格证
ESF102-M,ESF102-M 清滤宝基础型,前置过滤器,清滤宝,"本产品的所有组件都包含在彩盒内，装箱清单如下
前置过滤器主机（1 只）
不锈钢固定支架与螺钉（1 付）
排污软管（1 根 1.5米）及抱箍（1 只）
扳手（1 只）
说明书（内含装箱清单文字说明及","前置过滤器主机（1 只）
不锈钢固定支架与螺钉（1 付）
排污软管（1 根 1.5米）及抱箍（1 只）
扳手（1 只）
说明书（内含装箱清单文字说明及",found,产品组件,found,装箱清单如下,ESF102-M 清滤宝基础型.pdf,../ESF102-M 清滤宝基础型.pdf,1,本产品的所有组件都包含在彩盒内，装箱清单如下： （1） 前置过滤器主机（1 只） （2） 不锈钢固定支架与螺钉（1 付） （3） 排污软管（1 根 1.5米）及抱箍（1 只） （4） 扳手（1 只） （5） 说明书（内含装箱清单文字说明及,（1） 前置过滤器主机（1 只） （2） 不锈钢固定支架与螺钉（1 付） （3） 排污软管（1 根 1.5米）及抱箍（1 只） （4） 扳手（1 只） （5） 说明书（内含装箱清单文字说明及
ESF105-M,ESF105-M手动前置过滤器说明书,前置过滤器,前置过滤器,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ESF105-M手动前置过滤器说明书.pdf,../ESF105-M手动前置过滤器说明书.pdf,1,,
ESF20-A,ESF20-A 清滤宝黑钻尊享型,前置过滤器,清滤宝,"怡口牌 ESF20-A&4'""型前置过滤器
前置过滤器主机（1 只）
不锈钢固定支架与螺钉（1 付）
排污软管（1 根 3 米）及抱箍（2 只）
扳手（1 只）
接头（2 套）
说明书（内含装箱清单文字说明及","文字说明及保修卡）
合格证
电源适配器 （单位：毫米 mm） 三 . 产品功能 本产品怡口牌 &4'""&4'""型前置过滤器装置，需连接在房屋自来水总进水处 ，它能滤除 ሱটඣჷᇏ的悬浮颗粒并...",found,产品组件,found,装箱清单,ESF20-A 清滤宝黑钻尊享型.pdf,../ESF20-A 清滤宝黑钻尊享型.pdf,1,"怡口牌 ESF20-A&4'""型前置过滤器 （1） 前置过滤器主机（1 只） （2） 不锈钢固定支架与螺钉（1 付） （3） 排污软管（1 根 3 米）及抱箍（2 只） （4） 扳手（1 只） （5） 接头（2 套） （6） 说明书（内含装箱清单文字说明及","文字说明及保修卡） （7） 合格证 （8） 电源适配器 （单位：毫米 mm） 三 . 产品功能 本产品怡口牌 &4'""&4'""型前置过滤器装置，需连接在房屋自来水总进水处 ，它能滤除 ሱটඣჷᇏ的悬浮颗粒并可设置 1 至 99 天周期自动清洗，将截获的污垢从排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中本身 含有粘性沉淀物，如淤泥、粘土等，建议您选定清洗周期，将过滤器拆开并清洗里面的滤网（注明：滤 网是耗材，需定期清洗或更换，如有损坏，请及时更"
ESF21-A,ESF21-A 清滤宝黑钻尊享型,前置过滤器,清滤宝,"怡口牌 ESF20-A&4'""型前置过滤器
前置过滤器主机（1 只）
不锈钢固定支架与螺钉（1 付）
排污软管（1 根 3 米）及抱箍（2 只）
扳手（1 只）
接头（2 套）
说明书（内含装箱清单文字说明及","文字说明及保修卡）
合格证
电源适配器 （单位：毫米 mm） 三 . 产品功能 本产品怡口牌 &4'""&4'""型前置过滤器装置，需连接在房屋自来水总进水处 ，它能滤除 ሱটඣჷᇏ的悬浮颗粒并...",found,产品组件,found,装箱清单,ESF21-A 清滤宝黑钻尊享型.pdf,../ESF21-A 清滤宝黑钻尊享型.pdf,1,"怡口牌 ESF20-A&4'""型前置过滤器 （1） 前置过滤器主机（1 只） （2） 不锈钢固定支架与螺钉（1 付） （3） 排污软管（1 根 3 米）及抱箍（2 只） （4） 扳手（1 只） （5） 接头（2 套） （6） 说明书（内含装箱清单文字说明及","文字说明及保修卡） （7） 合格证 （8） 电源适配器 （单位：毫米 mm） 三 . 产品功能 本产品怡口牌 &4'""&4'""型前置过滤器装置，需连接在房屋自来水总进水处 ，它能滤除 ሱটඣჷᇏ的悬浮颗粒并可设置 1 至 99 天周期自动清洗，将截获的污垢从排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中本身 含有粘性沉淀物，如淤泥、粘土等，建议您选定清洗周期，将过滤器拆开并清洗里面的滤网（注明：滤 网是耗材，需定期清洗或更换，如有损坏，请及时更"
ESF30-A,ESF30-A、ESF31-A全自动前置过滤器用户手册,前置过滤器,前置过滤器,"本产品的所有组件都包含在彩箱内，装箱清单如下： 1． 前置过滤器主机（1只）
不锈钢固定支架与螺钉（1付）
3分PE管（1根3米）及卡夹（2只）
扳手（1只）
接头（2套）
说明书（内含装箱清单文字说明及","1． 前置过滤器主机（1只）
不锈钢固定支架与螺钉（1付）
3分PE管（1根3米）及卡夹（2只）
扳手（1只）
接头（2套）
说明书（内含装箱清单文字说明及",found,产品组件,found,装箱清单如下,ESF30-A、ESF31-A全自动前置过滤器用户手册.pdf,../ESF30-A、ESF31-A全自动前置过滤器用户手册.pdf,1,本产品的所有组件都包含在彩箱内，装箱清单如下： 1． 前置过滤器主机（1只） 2. 不锈钢固定支架与螺钉（1付） 3. 3分PE管（1根3米）及卡夹（2只） 4. 扳手（1只） 5. 接头（2套） 6. 说明书（内含装箱清单文字说明及,1． 前置过滤器主机（1只） 2. 不锈钢固定支架与螺钉（1付） 3. 3分PE管（1根3米）及卡夹（2只） 4. 扳手（1只） 5. 接头（2套） 6. 说明书（内含装箱清单文字说明及
ESF31-A,ESF30-A、ESF31-A全自动前置过滤器用户手册,前置过滤器,前置过滤器,"本产品的所有组件都包含在彩箱内，装箱清单如下： 1． 前置过滤器主机（1只）
不锈钢固定支架与螺钉（1付）
3分PE管（1根3米）及卡夹（2只）
扳手（1只）
接头（2套）
说明书（内含装箱清单文字说明及","1． 前置过滤器主机（1只）
不锈钢固定支架与螺钉（1付）
3分PE管（1根3米）及卡夹（2只）
扳手（1只）
接头（2套）
说明书（内含装箱清单文字说明及",found,产品组件,found,装箱清单如下,ESF30-A、ESF31-A全自动前置过滤器用户手册.pdf,../ESF30-A、ESF31-A全自动前置过滤器用户手册.pdf,1,本产品的所有组件都包含在彩箱内，装箱清单如下： 1． 前置过滤器主机（1只） 2. 不锈钢固定支架与螺钉（1付） 3. 3分PE管（1根3米）及卡夹（2只） 4. 扳手（1只） 5. 接头（2套） 6. 说明书（内含装箱清单文字说明及,1． 前置过滤器主机（1只） 2. 不锈钢固定支架与螺钉（1付） 3. 3分PE管（1根3米）及卡夹（2只） 4. 扳手（1只） 5. 接头（2套） 6. 说明书（内含装箱清单文字说明及
ESFX-A型前置过滤器说明书,ESFX-A型前置过滤器说明书,前置过滤器,前置过滤器,"本产品的所有组件都包含在单一包装箱内，其中包括以下的组件
前置过滤器主机
变压器
支架及螺钉
排水管
管夹 三•产品功能 本产品为前置过滤装置，需连接在房屋自来水总进水处，它能滤除水源中的悬浮颗粒并定期自动冲洗， 将截获的污垢从排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾...","在单一包装箱内，其中包括以下的组件
前置过滤器主机
变压器
支架及螺钉
排水管
管夹 三•产品功能 本产品为前置过滤装置，需连接在房屋自来水总进水处，它能滤除水源中的悬浮颗粒并定期自动冲洗， 将截获的污垢从排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾...",found,产品组件,found,本产品的所有组件都包含,ESFX-A型前置过滤器说明书.pdf,../ESFX-A型前置过滤器说明书.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下的组件： （1）前置过滤器主机 （2） 变压器 （3） 支架及螺钉 （4）排水管 （5）管夹 三•产品功能 本产品为前置过滤装置，需连接在房屋自来水总进水处，它能滤除水源中的悬浮颗粒并定期自动冲洗， 将截获的污垢从排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中 含有粘性沉淀物，如淤泥、粘土等，您有必要定期将过滤器拆开并清洗里面的滤网。 • 自动清洗装置 本机的电子控制系统会自动记录两次冲洗间的周期，并在设定的天数,在单一包装箱内，其中包括以下的组件： （1）前置过滤器主机 （2） 变压器 （3） 支架及螺钉 （4）排水管 （5）管夹 三•产品功能 本产品为前置过滤装置，需连接在房屋自来水总进水处，它能滤除水源中的悬浮颗粒并定期自动冲洗， 将截获的污垢从排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中 含有粘性沉淀物，如淤泥、粘土等，您有必要定期将过滤器拆开并清洗里面的滤网。 • 自动清洗装置 本机的电子控制系统会自动记录两次冲洗间的周期，并在设定的天数到来时自动启动冲洗。冲
ETF2100-PF10,ETF2100-PF10 净雅超容豪华型,复合/中央净水,净雅,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ETF2100-PF10 净雅超容豪华型.pdf,../ETF2100-PF10 净雅超容豪华型.pdf,1,,
ETF2300,ETF2300 ECCWS 黑钻系列,其他,黑钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ETF2300 ECCWS 黑钻系列.pdf,../ETF2300 ECCWS 黑钻系列.pdf,1,,
ETF2300 PF12,ETF2300 PF12 黑钻系列,其他,黑钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ETF2300 PF12 黑钻系列.pdf,../ETF2300 PF12 黑钻系列.pdf,1,,
EUF201-2,EUF201-2 臻爱系列,其他,臻爱系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EUF201-2 臻爱系列.pdf,../EUF201-2 臻爱系列.pdf,1,,
EUF202-2,EUF202-2 臻爱系列,其他,臻爱系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EUF202-2 臻爱系列.pdf,../EUF202-2 臻爱系列.pdf,1,,
EUF205-2,EUF205-2 MANUAL(工程款）,其他,工程款,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
净水机机头、顶盖及侧盖
两支滤芯
水龙头及相关配件的组件包
配有三根不同颜色的软管，黄色进水管1根， 蓝色出水管1根，红色排水管1根
含有固定螺钉和垫圈的零件袋
油脂袋和管接头配件包
电控盒（1只）
电源适配器（1只）
通用版说明书、质保卡","在单一包装箱内，其中包括以下组件
净水机机头、顶盖及侧盖
两支滤芯
水龙头及相关配件的组件包
配有三根不同颜色的软管，黄色进水管1根， 蓝色出水管1根，红色排水管1根
含有固定螺钉和垫圈的零件袋
油脂袋和管接头配件包
电控盒（1只）
电源适配器（1只）
通用版说明书、质保卡",found,产品组件,found,本产品的所有组件都包含,EUF205-2 MANUAL(工程款）.pdf,../EUF205-2 MANUAL(工程款）.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）净水机机头、顶盖及侧盖 （2） 两支滤芯 （3） 水龙头及相关配件的组件包 （4） 配有三根不同颜色的软管，黄色进水管1根， 蓝色出水管1根，红色排水管1根 （5） 含有固定螺钉和垫圈的零件袋 （6） 油脂袋和管接头配件包 （7）电控盒（1只） （8）电源适配器（1只） （9）通用版说明书、质保卡,在单一包装箱内，其中包括以下组件： （1）净水机机头、顶盖及侧盖 （2） 两支滤芯 （3） 水龙头及相关配件的组件包 （4） 配有三根不同颜色的软管，黄色进水管1根， 蓝色出水管1根，红色排水管1根 （5） 含有固定螺钉和垫圈的零件袋 （6） 油脂袋和管接头配件包 （7）电控盒（1只） （8）电源适配器（1只） （9）通用版说明书、质保卡
